OPEC/ORB,OPEC oil price,
WGC/GOLD_DAILY_USD,Gold price,
PERTH/SLVR_USD_D,Silver price,
YAHOO/INDEX_OEX,S&P100 index,
YAHOO/INDEX_N225,Nikkei 225 Index ,
YAHOO/INDEX_RUI,Russell 1000 Index,
YAHOO/INDEX_SSMI,Swiss Market Index ,
YAHOO/HK_CSHK100,CSI HONG KONG 100 INDEX,
YAHOO/INDEX_ATX,ATX Index ,
YAHOO/INDEX_XNG,NYSE AMEX Natural Gas Index,
YAHOO/INDEX_GDAXI,DAX Index ,
YAHOO/INDEX_IETP,ISEQ 20 Price Index ,
YAHOO/INDEX_JPN,NYSE AMEX Japan Index,
YAHOO/INDEX_KS11,KOSPI Composite Index ,
NASDAQOMX/NDX,NASDAQ 100 Index,
YAHOO/INDEX_NZ50,NZSE 50 ,*
YAHOO/INDEX_WIPOL_L,FTSE Poland Index,
YAHOO/INDEX_WITHA_L,FTSE Thailand Index,
YAHOO/INDEX_WITUR_L,FTSE Turkey Index,
